Asset_Type,Equipment_ID,Date_Install,Longitude,Latitude,STREET_1,STREET_2,Suburb,RMS_Region
VEH ,1,13-Oct-33,151.2048563,-33.87095289,MARKET ST,KENT ST,SYDNEY,Sydney
VEH ,2,19-Jul-37,151.1823339,-33.88227509,BRIDGE RD,ROSS ST,FOREST LODGE,Sydney
VEH ,3,09-Aug-37,151.1869803,-33.87980003,BRIDGE RD,GLEBE POINT RD,GLEBE,Sydney
VEH ,4,24-May-37,151.1761633,-33.8854174,PYRMONT BRIDGE RD,BOOTH ST,CAMPERDOWN,Sydney
VEH ,5,06-Sep-37,151.1949101,-33.87139436,PYRMONT BRIDGE RD,HARRIS ST,PYRMONT,Sydney
VEH ,7,23-Dec-66,151.2265533,-33.75158785,WARRINGAH RD,FOREST WAY,FRENCHS FOREST,Sydney
VEH ,8,13-Sep-65,151.1519894,-33.8472922,VICTORIA RD,WESTBOURNE ST,DRUMMOYNE,Sydney
VEH ,9,17-Oct-66,150.9293116,-31.09011026,PEEL ST,BRISBANE ST,TAMWORTH,Northern
VEH ,10,14-Sep-67,151.1318013,-33.99271203,ROCKY POINT RD,RUSSELL AV,SANS SOUCI,Sydney
VEH ,11,30-Oct-76,151.1013433,-33.81795777,CHURCH ST,MORRISON RD,RYDE,Sydney
VEH ,12,20-Jul-66,150.9751839,-33.88602556,WOODVILLE RD,KIRRANG AV,VILLAWOOD,Sydney
VEH ,13,30-May-38,151.1762582,-33.89178637,SALISBURY RD,AUSTRALIA ST,CAMPERDOWN,Sydney
VEH ,14,25-Jul-38,151.103689,-33.87742185,BURWOOD RD,RAILWAY PDE,BURWOOD,Sydney
VEH ,15,31-Jan-95,151.2121081,-33.86188819,PHILLIP ST,ALBERT ST,SYDNEY,Sydney
VEH ,16,13-Feb-39,151.1490627,-33.88989774,PARRAMATTA RD,FLOOD ST,LEICHHARDT,Sydney
VEH ,17,18-Jul-38,151.1459126,-33.89304394,OLD CANTERBURY RD,RAILWAY TCE,LEWISHAM,Sydney
VEH ,18,13-Feb-39,151.1417763,-33.88754074,PARRAMATTA RD,SLOANE ST,HABERFIELD,Sydney
VEH ,19,27-Feb-39,151.1716475,-33.8914219,SALISBURY RD,CARDIGAN ST,CAMPERDOWN,Sydney
VEH ,20,12-Dec-38,151.1709345,-33.89949187,ENMORE RD,STANMORE RD,ENMORE,Sydney
VEH ,21,12-Oct-70,151.1716471,-33.88760783,PARRAMATTA RD,BRIDGE RD,ANNANDALE,Sydney
